"name";"environmentalvalueunits"
"donkey";"Occurrence"
"salmol";"Occurrence"
"corn_snake";"Occurrence"
"parhys";"Occurrence"
"aspasp";"Occurrence"
"wdef_mean";"mm"
"evapx";"ml"
"Substrate_pmnlconcn0";"mgP kgH2O-1"
"Substrate_pmnln0";"kgP ha-1"
"Substrate_ptotn0";"kgP ha-1"
"radni";"MJ/m2/day"
"ALA-SPATIAL_layer_occurrence_av_1";""
"ALA-SPATIAL_layer_species_av_1";""
"east_afa_final";"region"
"mintm";"degrees C"
"aus1";"region"
"maxti";"degrees C"
"rtxmax";"degrees C"
"rtimax";"degrees C"
"capad08_ext";""
"tmaxabsx";"degrees C"
"GA_all_gaz_2008";""
"trngx";"degrees C"
"tminabsm";"degrees C"
"tminabsi";"degrees C"
"rtxmin";"degrees C"
"rtimin";"degrees C"
"maxtx";"degrees C"
"c4gi";"index"
"Substrate_distanywater";"km"
"Substrate_distcoast";"x1,000 km"
"Substrate_distnonpermw";"km/day"
"Substrate_distpermwat";"km"
"rprecmax";"dimensionless"
"Substrate_datasupt";"dimensionless"
"rain_ann";"mm"
"Substrate_geolrngeage";"my"
"Substrate_geolmeanage";"my"
"Substrate_geollmeanage";"log my"
"arid_mean";"dimensionless"
"Substrate_corg0";"kgC ha-1"
"arid_min";"dimensionless"
"Substrate_geollrngeage";"log my"
"Substrate_calcrete";"presence"
"Substrate_fert";""
"arid_max";"dimensionless"
"srain0mp";"dimensionless"
"Substrate_nmnln0";"kgN ha-1"
"WorldClim_bio_13";"mm"
"Substrate_nutrients";"rating"
"trnga";"degrees C"
"tmaxabsm";"degrees C"
"slrain2";"dimensionless"
"Substrate_ksat";""
"Substrate_ks_err";""
"Substrate_magnetics";""
"Substrate_wr_unr";"index"
"wdef_max";"mm"
"wdef_min";"mm"
"Substrate_solpawhc";"mm"
"wpot_mean";""
"pwat_max";""
"pwat_min";""
"Substrate_nmnlconcn0";"mgN kgH2O-1"
"spls_min";""
"Substrate_gravity";""
"Substrate_clay";"%"
"Substrate_erosional";""
"Substrate_soldepth";""
"Substrate_pedality";""
"Substrate_coarse";""
"cabcar";"Occurrence"
"Substrate_ridgetopflat";""
"Substrate_roughness";""
"Substrate_slope";"%"
"Substrate_mrvbf";""
"minti";"degrees C"
"megagi";"index"
"adefi";"mm"
"BioClim_bio13";"mm"
"chrrot";"Occurrence"
"fox";"Occurrence"
"BioClim_bio11";"degrees C"
"BioClim_bio22";"MJ/m2/day"
"BioClim_bio14";"mm"
"BioClim_bio16";"mm"
"BioClim_bio23";"MJ/m2/day"
"BioClim_bio26";"MJ/m2/day"
"BioClim_bio24";"MJ/m2/day"
"spls_max";""
"BioClim_bio1";"degrees C"
"BioClim_bio7";"degrees C"
"BioClim_bio9";"degrees C"
"BioClim_bio3";"degrees C"
"banteng";"Occurrence"
"BioClim_bio4";"degrees C"
"BioClim_bio5";"degrees C"
"BioClim_bio17";"mm"
"BioClim_bio20";"MJ/m2/day"
"BioClim_bio21";"MJ/m2/day"
"BioClim_bio10";"degrees C"
"BioClim_bio33";"Dimensionless"
"BioClim_bio31";"Dimensionless"
"BioClim_bio34";"Dimensionless"
"BioClim_bio28";"Dimensionless"
"vpd2min";"KPa"
"BioClim_bio35";"Dimensionless"
"BioClim_bio29";"Dimensionless"
"BioClim_bio32";"Dimensionless"
"BioClim_bio30";"Dimensionless"
"BioClim_bio18";"mm"
"BioClim_bio19";"mm"
"BioClim_bio6";"degrees C"
"BioClim_bio8";"degrees C"
"Wind_windsp9i";"m/s"
"Wind_windspmean";"m/s"
"Wind_windrm";"km/day"
"Wind_windrx";"km/day"
"Wind_windri";"km/day"
"Wind_windsp15m";"m/s"
"Wind_windsp9m";"m/s"
"plague_minnow";"Occurrence"
"cattle";"Occurrence"
"dolo_acid";"t/ha"
"tenure08";"class"
"camel";"Occurrence"
"cane_toad";"Occurrence"
"buffalo";"Occurrence"
"carp";"Occurrence"
"lancam";"Occurrence"
"hymamp";"Occurrence"
"deer";"Occurrence"
"dog";"Occurrence"
"cat";"Occurrence"
"myna";"Occurrence"
"eaeo_mean";""
"pig";"Occurrence"
"goat";"Occurrence"
"sheep";"Occurrence"
"slider";"Occurrence"
"weather_loach";"Occurrence"
"starling";"Occurrence"
"migratry_sp";"frequency"
"rabbit";"Occurrence"
"threatnd_com";"frequency"
"threatnd_sp";"frequency"
"rubfru";"Occurrence"
"Wind_windsp15i";"m/s"
"paracu";"Occurrence"
"chrmni";"Occurrence"
"uleeur";"Occurrence"
"evapi";"ml"
"mimpig";"Occurrence"
"vpd29_x";"KPa"
"radnx";"MJ/m2/day"
"anngla";"Occurrence"
"prospp";"Occurrence"
"nastri";"Occurrence"
"crygra";"Occurrence"
"pwat_mean";""
"acanil";"Occurrence"
"salspp";"Occurrence"
"imcra4_pb";"region"
"ibra_reg_shape";"region"
"evap_mean";"ml"
"mesogi";"index"
"evap_cv";"ML / %"
"rh2mean";"%"
"rh2max";"%"
"rh2min";"%"
"rhu215_i";"%"
"vpd29_m";"KPa"
"vpd2max";"KPa"
"trngm";"degrees C"
"trngi";"degrees C"
"slrain0";"dimensionless"
"srain1mp";"dimensionless"
"srain0";"dimensionless"
"rain_aut";"mm"
"rel_aut";"%"
"raini";"mm"
"srain2mp";"dimensionless"
"eaeo_max";""
"rain_spr";"mm"
"rel_spr";"%"
"eaeo_min";""
"rain_sum";"mm"
"slrain1";"dimensionless"
"srain1";"dimensionless"
"rel_sum";"%"
"rain_win";"mm"
"rel_win";"%"
"wpot_max";""
"wpot_min";""
"WorldClim_bio_12";"mm"
"WorldClim_bio_14";"mm"
"WorldClim_bio_17";"mm"
"Substrate_bdensity";""
"evapm";" (ml/5km x 5km pixel)"
"BioClim_bio15";"mm"
"rhu215_m";"%"
"rhu215_x";"%"
"WorldClim_bio_18";"mm"
"rainm";"mm"
"BioClim_bio2";"degrees C"
"BioClim_bio12";"mm"
"vpd29_i";"KPa"
"rprecmin";"mm"
"srain2";"dimensionless"
"rainx";"mm"
"adefm";"mm"
"radnm";"MJ/m2/day"
"adefx";"mm"
"Wind_windsp15x";"m/s"
"WorldClim_bio_16";"mm"
"BioClim_bio27";"MJ/m2/day"
"BioClim_bio25";"MJ/m2/day"
"WorldClim_bio_1";"degrees C"
"WorldClim_bio_7";"degrees C"
"WorldClim_bio_6";"degrees C"
"WorldClim_bio_11";"degrees C"
"WorldClim_bio_2";"degrees C"
"Wind_windsp9x";"m/s"
"WorldClim_bio_9";"degrees C"
"WorldClim_bio_3";"dimensionless"
"altphi";"Occurrence"
"WorldClim_bio_4";"degrees C"
"fire_tslb08";"years"
"drain_mean";"ML / %"
"drain_cv";"%"
"runoff_mean";"ML / %"
"beef_dse";"dse"
"dolo_phys";"t/ha"
"fal_dom_ha_01";"class"
"fal_dom_no_01";"class"
"gypsum";"t/ha"
"irr_dom_no_01";"class"
"lime";"t/ha"
"nrm_exp";"$"
"add_nrm";"$/ha"
"totn";"t/ha"
"totp";"t/ha"
"totk";"t/ha"
"sheep_dse";"dse"
"st_dom_ha_01";"class"
"st_dom_no_01";"class"
"til_dom_ha_01";"class"
"til_dom_no_01";"class"
"landuse";"class"
"sla_inc_low";"%"
"lv";"$/ha"
"mean-nitrate_cars2006";"umol/l"
"mean-oxygen_cars2006";"ml/l"
"mean-phosphate_cars2006";"umol/l"
"mean-silicate_cars2006";"umol/l"
"mean-temperature_cars2009a";"degrees C"
"aus2";"region"
"sla_median_a";"years"
"sla_prime_wa";"Count"
"seifa";"points (mean=1000)"
"sla_edu_deg";"%"
"sla_edu_voc";"%"
"sla_empaffm";"%"
"fci";"$/ha"
"sla_inc_high";"%"
"ofi";"$/ha"
"osfci";"$/ha"
"sla_dwell06";"%"
"sla_internet";"%"
"sla_popch";"count"
"popn_dens06";"people/km^2"
"sla_popdens";"people/km^2"
"bath_topo_ausbath_09_v4";""
"DEM";"m"
"DEM_dem-9s";""
"Substrate_valleybottom";"%"
"Substrate_mrrtf";"%"
"slope";""
"slope_length";"metres"
"tamaph";"Occurrence"
"vpd2mean";"KPa"
"WorldClim_bio_15";"mm"
"WorldClim_bio_19";"mm"
"WorldClim_bio_5";"degrees C"
"maxtm";"degrees C"
"Wind_windspmax";"m/s"
"mintx";"degrees C"
"WorldClim_bio_10";"degrees C"
"WorldClim_bio_8";"degrees C"
"aria";"dimensionless"
"Wind_windspmin";"m/s"
"dairy_dse";"dse"
"fire_frq";"number"
"mean-salinity_cars2009a";"PSU"
"ror";"$/ha"
"sla_unemp";"%"
"sla_older_wa";"Count"
"soil_carbon";"%"
"Substrate_ntotn0";"kgN ha-1"
"ph";"ph"
"sodicity";"class"
"soilm_mean";"fraction / %"
"soilm_cv";"fraction / %"
"Substrate_hpedality";"score"
"Substrate_twi";""
"pawhc";"mm"
"spls_mean";""
"erodibility";"k factor"
"npp_mean";"tonnes/ha/yr"
"erosivity";"MJ mm/ha hr yr"
"aspect";"degrees"
"DEM_d8-9s";""
"elevation";"m"
"Substrate_relief";""
"landcover";"class"
"ndvi_mean";"% (NDVI*100)"
"vast";"class"
"native_veg";"class"
"present_veg";"class"
